Location_ID,Apogee_ID,ID
4147,2M07380093+2138364,1
4103,2M08100405+3220142,1
4103,2M08122061+3106141,1
4534,2M08351992+1408333,1
4206,2M09055055+3707273,1
4211,2M09323415+5610109,1
4536,2M09325236-0624540,1
4223,2M09340530+3715170,1
4213,2M10173682+0251001,1
4213,2M10182615+0111149,1
4538,2M10393900-1157082,1
4239,2M11072525-0700377,1
4539,2M11181429-0026454,1
4511,2M11265882+0317197,1
4488,2M11414560+2538598,1
4488,2M11433820+2719190,1
4124,2M11442717+0132456,1
4487,2M11453072+3411559,1
4124,2M11462363+0117381,1
4124,2M11490786+0057101,1
4488,2M11494431+2713454,1
4489,2M11513353+1853540,1
4502,2M11541150+5505174,1
4490,2M12142977+1433409,1
4490,2M12155496+1405560,1
4501,2M12165618+5725149,1
4490,2M12211862+1326565,1
4486,2M12212493+3957137,1
4125,2M12222236+0003375,1
4501,2M12242413+5648023,1
4501,2M12244588+5721086,1
4216,2M12260547+2644385,1
4126,2M12451156-0850209,1
4126,2M12475524-0850470,1
4485,2M12485052+4134109,1
4446,2M12491211-0221498,1
4127,2M12523586+2634462,1
4127,2M12550629+2619047,1
4128,2M13092211+1736593,1
4492,2M13161778+1359517,1
4492,2M13200910+1403573,1
4481,2M13405664+1809437,1
4481,2M13430480+1929233,1
4160,2M13445977+2851033,1
4160,2M13453401+2750529,1
4160,2M13511848+2813045,1
4161,2M14062398+2913243,1
4161,2M14102934+2853463,1
4203,2M14255047-0546148,1
4203,2M14272053-0454061,1
4439,2M14293977+4957242,1
4498,2M14485476+4438107,1
4493,2M14490955+1242421,1
4498,2M14523756+4712210,1
4220,2M14542303+3122323,1
4494,2M14580457+1618569,1
4495,2M15002686+2655120,1
4495,2M15035350+2718330,1
4496,2M15051974+3206536,1
4437,2M15055682+2216202,1
4438,2M15105106+3626429,1
4201,2M15134594+0102277,1
4201,2M15152634+0016317,1
4201,2M15155384+0116239,1
4201,2M15175431+0206175,1
4201,2M15204340+0017425,1
4232,2M15225888+3644292,1
4451,2M15242209+3703289,1
4528,2M16262568+8531008,1
4105,2M16372341+3734097,1
4204,2M16424598+4816143,1
4105,2M16452121+3555525,1
4105,2M16475736+3715436,1
4105,2M16480538+3703206,1
4454,2M17040597+6007537,1
4337,2M17083330-2313380,1
4337,2M17091191-2333467,1
4337,2M17100741-2307355,1
4202,2M17135983+4203074,1
4453,2M17140575+4907262,1
4359,2M17144370-2449231,1
4202,2M17151471+4427487,1
4368,2M17190649-2745172,1
4335,2M17215643-2519256,1
4335,2M17223165-2519107,1
4335,2M17232392-2532106,1
4455,2M17300861+5440161,1
4387,2M17330874-1715177,1
4527,2M17342717+7435262,1
4362,2M17345651-2048568,1
4352,2M17364991-2728343,1
4348,2M17391651-2259198,1
4348,2M17393731-2324309,1
4524,2M17405163+3610191,1
4330,2M17452683-2848075,1
4330,2M17463493-2821398,1
4365,2M17520031-2308488,1
4386,2M17525474-2834370,1
4104,2M17532090-2514343,1
4104,2M17534010-2532270,1
4363,2M17580952-2723418,1
4343,2M17594139-1935453,1
4355,2M18011118-2227100,1
4378,2M18013570-1755079,1
4332,2M18035235-2955151,1
4366,2M18041435-2455385,1
4388,2M18042203-2917298,1
4332,2M18042236-3004162,1
4332,2M18050502-3028039,1
4370,2M18052444-1520538,1
4370,2M18062466-1554481,1
4370,2M18064622-1528158,1
4366,2M18065593-2449047,1
4366,2M18070105-2519382,1
4349,2M18101778-2726026,1
4356,2M18103554-1811011,1
4393,2M18104783-2824046,1
4349,2M18112613-2706371,1
4341,2M18151791-2137323,1
4393,2M18153119-2848286,1
4344,2M18154015-1212453,1
4344,2M18161098-1223031,1
4341,2M18162884-2138565,1
4339,2M18173497-1611435,1
4339,2M18180315-1604176,1
4357,2M18192203-1411326,1
4357,2M18192899-1452043,1
4357,2M18234612-1501159,1
4281,2M18264494-0724054,1
4244,2M18302301+0002179,1
4244,2M18310323-0119507,1
4244,2M18334516-0015354,1
4244,2M18345584-0036353,1
4240,2M18432561-0206165,1
4381,2M18451301-2952432,1
4381,2M18451472-2949316,1
4240,2M18460678-0337057,1
4240,2M18470667-0226077,1
4383,2M18542367-2911502,1
4247,2M18591261-0332283,1
4247,2M19012187-0339378,1
4406,2M19065925+4843276,1
4405,2M19072789+4716062,1
4406,2M19082022+5010496,1
4405,2M19105867+4550367,1
4254,2M19121869-0714114,1
4254,2M19125035-0554066,1
4262,2M19203184+3830492,1
4262,2M19225746+3824509,1
4245,2M19254764+2554542,1
4313,2M19264903+1645386,1
4245,2M19275246+2717519,1
4464,2M19281219+4204097,1
5005,2M19281567+4708099,1
4589,2M19290115+3715011,1
4245,2M19301378+2708436,1
4400,2M19301580+4932086,1
4245,2M19311717+2513592,1
5005,2M19315472+4739114,1
4464,2M19321788+4216489,1
4464,2M19344565+4140247,1
4263,2M19374558+3822510,1
5004,2M19385987+4939200,1
4399,2M19391260+5005409,1
4399,2M19391342+4932430,1
4463,2M19400881+4351320,1
4466,2M19470993+4146266,1
4463,2M19483366+4304263,1
4261,2M19495840+1910037,1
4248,2M19554261+2158512,1
4248,2M19565189+2310302,1
4248,2M20005240+2039244,1
4394,2M20182721+3742208,1
4252,2M20274837+5242394,1
4252,2M20412308+5321483,1
4246,2M20542922+5207421,1
4246,2M20575896+5203133,1
4242,2M21080433+4811502,1
4260,2M21340016-0103533,1
4249,2M21341391+4522577,1
4249,2M21344119+4554033,1
4102,2M21421037+4201051,1
4102,2M21451241+4225454,1
4473,2M22191464-0124172,1
4475,2M23153523+1228576,1
4548,2M23554035+1555351,1
4264,2M23571885+5659355,1
