Location_ID,Apogee_ID
4157,2M06411465+0150373
4572,2M06411792+0929011
4572,2M06412304+0943266
4572,2M06413207+1001049
4292,2M06425155-2355027
4617,2M06432872+0010360
4617,2M06435849-0100515
4157,2M06455815+0359470
4157,2M06470468+0136073
4602,2M06502133+2755152
4574,2M06522785+0715576
4581,2M06561894-0835461
4606,2M06563892+4319360
4569,2M06565845+1606213
4607,2M06573841+3600153
4159,2M06574218+0433069
4574,2M06580937+0829446
4324,2M07012946-0308517
4159,2M07013062+0505262
4159,2M07014968+0316145
4583,2M07023378-1157206
4159,2M07044375+0440182
4576,2M07063543+0219287
4576,2M07090093+0203229
4221,2M07100180+3831457
4608,2M07100305+2955418
4253,2M07125169+0710345
4253,2M07135377+0712322
4578,2M07142035-0258155
4603,2M07152278+1409293
4253,2M07154275+0621084
4580,2M07155738-0456551
4608,2M07181434+3038092
4603,2M07182600+1429453
4253,2M07191806+0556151
4609,2M07250686+2435451
4609,2M07261441+2237362
4609,2M07290870+2315415
4609,2M07301103+2342112
4610,2M07355627+1643023
4147,2M07381910+2251256
4530,2M07404906+6607306
4222,2M07412047+3711185
4291,2M07412162+0910207
4531,2M07413927+5305101
4291,2M07421515+1045108
4147,2M07441014+2205066
4529,2M07444028+7946423
4531,2M07472538+5247100
4291,2M07483499+0906114
4531,2M07541885+5200114
4531,2M07551518+5355112
4532,2M07552365+3928120
4532,2M07570825+4108547
4294,2M07582829-1621447
4532,2M08034828+3936100
4103,2M08100655+3127281
4103,2M08103416+3152116
4103,2M08113137+3101105
4295,2M08132215-1246517
4103,2M08145824+3212019
4103,2M08165864+3202156
4267,2M08460130-1509051
4162,2M08464223+1205302
4162,2M08472585+1225091
4162,2M08494940+1045341
4267,2M08495593-1455048
4162,2M08502698+1148313
4162,2M08504952+1217158
4162,2M08510576+1143469
4162,2M08510890+1148377
4162,2M08511292+1234492
4162,2M08513553+1139469
4162,2M08513724+1146557
4162,2M08515309+1140536
4162,2M08532217+1241133
4162,2M08545897+1225409
4535,2M08554987+0430058
4206,2M09015439+3734575
4206,2M09082791+3757060
4450,2M09242664+2848343
4450,2M09243292+2823159
4223,2M09292132+3718010
4211,2M09314691+5618248
4223,2M09315645+3714213
4223,2M09324916+3612053
4223,2M09331383+3624247
4223,2M09341623+3626255
4223,2M09354790+3553044
4223,2M09355228+3726198
4223,2M09362676+3602207
4223,2M09374874+3655260
4224,2M10270797+1555402
4224,2M10280514+1735219
4505,2M10303884+3426088
4505,2M10331367+3409120
4506,2M10334761+3018596
4505,2M10344330+3437080
4506,2M10352118+2907470
4505,2M10371964+3358365
4443,2M10372490+2442462
4508,2M10374847+1958348
4505,2M10390134+3454126
4538,2M10391336-1104510
4538,2M10392169-1142243
4443,2M10402343+2510454
4538,2M10402800-1112350
4505,2M10410238+3443357
4508,2M10423925+1944404
4538,2M10451300-1028232
4508,2M10455837+1904000
4442,2M10462233+4014258
4448,2M10464238+1626144
4504,2M10465216+4523138
4448,2M10472988+1726513
4504,2M10485725+4355384
4236,2M10493780-0043348
4504,2M10494672+4444117
4448,2M10515485+1556172
4236,2M10520326+0032383
4504,2M10522627+4312296
4448,2M10522769+1701079
4504,2M10545522+4344339
4236,2M10554328+0041514
4503,2M10572646+4818475
4444,2M10581378+1127335
4444,2M10582329+1054571
4444,2M11012916+1215329
4503,2M11025039+4740301
4503,2M11044917+4840467
4444,2M11055266+1120092
4228,2M11062325-1257183
4228,2M11081296-1205110
4503,2M11081979+4751217
4239,2M11091358-0457397
4503,2M11105136+4816453
4503,2M11105352+4908141
4510,2M11124702+0757366
4539,2M11150635+0013432
4539,2M11175983+0023252
4441,2M11193321+5209200
4510,2M11204359+0639151
4441,2M11205368+5123066
4539,2M11213676-0041263
4510,2M11220188+0721257
4441,2M11244798+5317481
4441,2M11254661+5217235
4441,2M11260825+5112494
4441,2M11260994+5335131
4441,2M11265242+5141217
4511,2M11285264+0302257
4441,2M11293132+5232582
4441,2M11294703+5146160
4511,2M11334886+0440471
4214,2M11401093-1433560
4488,2M11410110+2717085
4214,2M11421199-1442273
4124,2M11425912+0102535
4124,2M11430929+0053490
4124,2M11432965+0116457
4214,2M11434104-1450596
4124,2M11434920+0103193
4488,2M11441188+2633242
4124,2M11441821+0122336
4124,2M11445086+0038417
4433,2M11452952-0207584
4502,2M11453792+5600247
4487,2M11454524+3330119
4488,2M11460972+2717512
4229,2M11465887-1056567
4124,2M11471217-0027319
4433,2M11472318-0124310
4433,2M11480250-0216495
4433,2M11483866-0031171
4487,2M11484981+3446170
4489,2M11491536+1935349
4445,2M11494199+0143564
4502,2M11495002+5448155
4229,2M11495375-1113149
4502,2M11501253+5613304
4487,2M11504147+3339475
4445,2M11510221+0018423
4445,2M11510555+0140519
4502,2M11511579+5359223
4487,2M11523523+3524121
4229,2M11535609-1045502
4487,2M11535946+3325572
