Location_ID	Apogee_ID	ID
4259	2M03433710+2338322	1
4259	2M03435284+2517060	0
4259	2M03435386+2528301	0
4586	2M03441122+3208161	0
4586	2M03441143+3219401	0
4586	2M03441776+3204476	1
4259	2M03442467+2451535	1
4586	2M03443259+3208424	0
4586	2M03443482+3211180	1
4586	2M03443569+3204527	0
4259	2M03443777+2255157	0
4586	2M03444173+3212022	1
4586	2M03444495+3213364	1
4586	2M03444508+3214130	1
4586	2M03444770+3219117	1
4586	2M03445561+3209198	1
4586	2M03450783+3102335	1
4259	2M03451698+2515478	1
4259	2M03452118+2343389	0
4586	2M03452214+3202040	0
4259	2M03454440+2413132	1
4259	2M03460958+2242374	1
4259	2M03462538+2409365	0
4259	2M03465360+2417151	0
4259	2M03470376+2336588	1
4259	2M03470474+2522502	0
4259	2M03472578+2508330	1
4259	2M03473478+2248048	1
4259	2M03473935+2427322	0
4152	2M03474790+4803183	1
4259	2M03475286+2259341	1
4259	2M03481526+2342036	1
4586	2M03485329+3132297	1
4596	2M03491294+3813037	0
4152	2M03491989+4915280	1
4259	2M03505403+2309119	1
4259	2M03512664+2504369	1
4152	2M03522636+4916273	1
4152	2M03533894+4857085	1
4205	2M03534224+8002056	1
4152	2M03560117+5003253	1
4205	2M03563567+7857072	1
4151	2M03565396+5256029	1
4205	2M03584558+7841217	1
4151	2M03585279+5155016	1
4205	2M04012018+7942296	1
4151	2M04015510+5336178	1
4151	2M04030722+5150045	1
4151	2M04043545+5153371	1
4556	2M04173043+4406020	1
4556	2M04181465+4443163	1
4153	2M04182393+5423539	1
4153	2M04242736+5458531	1
4325	2M04255496+3602431	0
4325	2M04300665+3520323	1
4325	2M04354999+3615107	1
4320	2M04373881+4650216	1
4121	2M04380659+5839465	0
4325	2M04393682+3553432	1
4257	2M04435712+3901413	1
4597	2M04460281+2832101	1
4257	2M04475318+3844458	1
4257	2M04485954+3749255	1
4555	2M04491848+4954075	1
4121	2M04511439+5747361	1
4257	2M04523015+3925462	1
4121	2M04533610+5803507	1
4272	2M04582234+4150390	0
4272	2M04594994+4041082	1
4560	2M04595013+3638144	1
4555	2M05003852+4942070	1
